,Annual Return,Volatility,Sharpe,Max Drawdown
TSLA,0.8680818045853773,0.6271135415955869,1.3842498160328136,-0.45113819167456315
MSFT,0.23903426379943893,0.22616195592496935,1.0569163271595514,-0.19386158759482763
NVDA,0.4173230838651699,0.4634420025880944,0.9004861051320917,-0.3610703446593134
VOO,0.15356538117581464,0.17220344867673373,0.891767164687235,-0.1668587643865882
AMZN,0.19580956830651686,0.2971756008592071,0.6589019008975961,-0.28054524878221143
AAPL,0.11027463764510838,0.3275573934420317,0.336657452565252,-0.2621497585568543
